id,cond,llm,n_annot,consistency,coherence,originality,surprisingness,enjoyment,quality,coherence_comp,creativity_comp,attract_comp,overall,n_words,n_sentences,mean_word_length,mean_sentence_length,ttr,hapax_ratio,comma_density,flesch_approx,adjacent_sentence_similarity,semantic_distinctiveness,s_novelty,s_transience,s_resonance,ntr_unit,n_units_total,n_units_used
conv_6e1aba5fd20f4bbfbec7436ea83c6a0d,LLM-LLM,2,0,,,,,,,,,,,588.0,11.0,4.549319727891157,53.45454545454545,0.4319727891156462,0.3163265306122449,95.23809523809524,29.41945269016699,0.2149608932630403,0.4375580774067673,-1.5150488879945545,-0.3047157790925767,-1.2103331089019775,sentence,11,9
conv_6f7b4058431b47a49069aa04afdcc338,LLM-LLM,2,0,,,,,,,,,,,554.0,34.0,4.55956678700361,16.294117647058822,0.5144404332129964,0.3700361010830325,83.03249097472924,67.36686770014867,0.0470345658888029,0.5989550190229342,-3.5943426363395923,-0.7348838900074814,-2.859458746332111,sentence,35,33
conv_707f254a59ed4e7197458f3c8ff2db0c,LLM-LLM,2,0,,,,,,,,,,,599.0,39.0,4.562604340567613,15.35897435897436,0.4924874791318864,0.3656093489148581,80.13355592654423,66.39355421428877,0.0542104780145956,0.4237468585735177,-3.3729709129075744,-0.7534462922328228,-2.619524620674752,sentence,39,37
conv_7797d9bff9bd4f9b95d96c326f277474,LLM-LLM,2,0,,,,,,,,,,,569.0,31.0,4.586994727592267,18.35483870967742,0.4815465729349736,0.3550087873462214,87.87346221441125,64.05545382391294,0.0873171372023282,0.5148308427942332,-3.1534105813310993,-1.1077413486857568,-2.0456692326453423,sentence,33,31
conv_7a911b33d930428b9119a670406e96b1,LLM-LLM,2,0,,,,,,,,,,,474.0,36.0,4.864978902953586,13.166666666666666,0.5569620253164557,0.4008438818565401,99.1561181434599,67.10627637130803,0.0316279995813347,0.625667897786289,-4.536148119263533,-1.4491295451071204,-3.087018574156412,sentence,43,41
conv_7d762b87dbd44caea8f4fa1416239173,LLM-LLM,2,0,,,,,,,,,,,642.0,11.0,4.557632398753894,58.36363636363637,0.4283489096573208,0.3146417445482866,65.42056074766354,24.7809558198811,0.2375303288102398,0.4537924697005859,-1.5698970821168687,-0.3126252889633178,-1.2572717931535509,sentence,11,9
conv_82c64af3c66e49f0af6f2ea136288acd,LLM-LLM,2,0,,,,,,,,,,,608.0,25.0,4.5230263157894735,24.32,0.4621710526315789,0.3569078947368421,87.17105263157895,56.36335789473685,0.1019515264736063,0.5396174970227596,-2.632901281118393,-0.5027111793557802,-2.130190101762613,sentence,26,24
conv_84882a79161947c39f9842b344c773f2,LLM-LLM,2,0,,,,,,,,,,,546.0,33.0,4.728937728937729,16.545454545454547,0.5586080586080586,0.4047619047619047,62.27106227106227,68.56444055944058,0.0433963668834635,0.6449895986024208,-4.052829448133707,-1.198894079774618,-2.853935368359089,sentence,34,32
conv_8947486e0260400c9e413aead1502092,LLM-LLM,2,0,,,,,,,,,,,584.0,11.0,4.532534246575342,53.09090909090909,0.4794520547945205,0.3578767123287671,102.73972602739724,29.95902864259031,0.170410159411064,0.5149143955950997,-1.6090022444725036,-2.0838550597429277,0.4748528152704239,sentence,12,10
conv_99ec489eabc540348ba85f02a06c64cf,LLM-LLM,2,0,,,,,,,,,,,516.0,28.0,4.77906976744186,18.428571428571427,0.5717054263565892,0.4515503875968992,85.27131782945736,65.49279069767444,0.0469592652949799,0.6197249604423996,-3.426900808627789,-0.5780548682579627,-2.8488459403698263,sentence,28,26
