id,s_novelty,s_transience,s_resonance,n_units_total,n_units_used,unit,cond
conv_84882a79161947c39f9842b344c773f2,-4.052829448133707,-1.198894079774618,-2.853935368359089,34,32,sentence,LLM-LLM
conv_8947486e0260400c9e413aead1502092,-1.6090022444725036,-2.0838550597429277,0.4748528152704239,12,10,sentence,LLM-LLM
conv_99ec489eabc540348ba85f02a06c64cf,-3.426900808627789,-0.5780548682579627,-2.8488459403698263,28,26,sentence,LLM-LLM
conv_a04661581cc44199925519416c49193a,-4.696393015032465,-1.4352276359092109,-3.261165379123254,46,44,sentence,LLM-LLM
conv_a5f55403da744ff0b966103e3911c44e,-3.603770888212955,-0.6750523791168676,-2.928718509096088,35,33,sentence,LLM-LLM
conv_a731e4cc684f448587f5085e647f5953,-3.774813184031734,-0.90412230403335,-2.8706908799983837,29,27,sentence,LLM-LLM
conv_ad879cff91254437a5153d2400ed3f5d,-3.1127067006060054,-1.094925374857017,-2.0177813257489885,30,28,sentence,LLM-LLM
conv_adc796acd32f4433993539115159236a,-4.3269018588527555,-1.5297029652903158,-2.79719889356244,33,31,sentence,LLM-LLM
conv_baa66c4dc3ff4e6f8b91aa3bf55cbea2,-2.9636016653643713,-0.591148790385988,-2.3724528749783835,29,27,sentence,LLM-LLM
conv_bd42668068fc4f41a9b41e52a30aa976,-3.757549456187657,-0.7513989167554038,-3.006150539432253,30,28,sentence,LLM-LLM
conv_bd574adf4c144554bf5dde1263f1bb0d,-3.992990505050968,-1.1479183677080516,-2.845072137342917,39,37,sentence,LLM-LLM
conv_bfba8b3e334542f08bee905a2934a25e,-3.4361744338068467,-0.7762862156177389,-2.659888218189108,31,29,sentence,LLM-LLM
conv_bfdccaa2af5e42afa662d355a9f25723,-1.3284430503845217,-0.3280579447746277,-1.0003851056098938,4,2,sentence,LLM-LLM
conv_c4baf00847bb42a8ab80a1cb377e91b2,-2.8840392017364502,-0.6107785892486572,-2.273260612487793,27,25,sentence,LLM-LLM
conv_c5addb32570d400db0feca8365ceaa9a,-4.142865805625916,-1.7158411073684692,-2.4270246982574464,27,25,sentence,LLM-LLM
conv_c7841512d38b483c928344d48d5caa78,-1.1031512816747029,-0.281194011370341,-0.8219572703043619,5,3,sentence,LLM-LLM
conv_c844530b86a74806aff04a1d35ed710d,-3.1184797430860587,-0.7351049657525688,-2.38337477733349,31,29,sentence,LLM-LLM
conv_c9917f1e13cb425b8d6617310f2e909f,-2.6642018365859985,-0.4934492707252502,-2.1707525658607483,27,25,sentence,LLM-LLM
conv_ca1d11bdb5804bf5b68a18283defc1fe,-3.2629824616014957,-0.4312588013708591,-2.8317236602306366,34,32,sentence,LLM-LLM
conv_d09d179bdcf2422c934df6fd0fc84a1d,-1.577301859855652,-0.2682150602340698,-1.309086799621582,4,2,sentence,LLM-LLM
conv_d1c22bb3a30c49288b4bb253d68f713c,-3.416619896888733,-0.8198912302652995,-2.5967286666234335,32,30,sentence,LLM-LLM
conv_d6905a1ca5714753a29b07b1344d1eb0,-3.273539371562727,-0.6242295052065994,-2.649309866356127,35,33,sentence,LLM-LLM
conv_dc08ca44d82747d0bbf35d05a5cb1d68,-3.3503985820394573,-1.1045860142418833,-2.245812567797574,35,33,sentence,LLM-LLM
conv_de8aad34908944eea2d9c5f8be5201dd,-4.074600243940949,-1.0688709523528814,-3.005729291588068,34,32,sentence,LLM-LLM
conv_deb05265bec84343b09557454f80ce9a,-4.329039068783031,-1.239767930086921,-3.08927113869611,36,34,sentence,LLM-LLM
conv_df34362d313d4251be4aa9d372a74bc4,-3.3289164821306865,-0.8992505470911661,-2.4296659350395204,32,30,sentence,LLM-LLM
conv_e55e23af1d4147fda2537d51eb56c93e,-1.7870247689160434,-0.3732157837260853,-1.413808985189958,13,11,sentence,LLM-LLM
conv_e8cf4a02ed5d42acb9cb032eeb8564d6,-3.4673570096492767,-0.7438304908573627,-2.723526518791914,34,32,sentence,LLM-LLM
conv_e9176cbc9fc84bf693d4722a41d4d02b,-1.5031942887739702,-0.3935234438289295,-1.1096708449450403,13,11,sentence,LLM-LLM
conv_e986348ecd0a4b4fa288f72d037bc63d,-3.460597094028227,-1.0462037517178444,-2.4143933423103823,33,31,sentence,LLM-LLM
conv_ebe60862bf804722a847681940c8bbcd,-1.783098503947258,-0.3473495244979858,-1.4357489794492722,10,8,sentence,LLM-LLM
conv_ec61d7cb57094812b5ed7b7b55c18b32,-3.957356160337275,-0.7258209640329535,-3.2315351963043213,35,33,sentence,LLM-LLM
conv_f125b048b3e64f3b981a17c9f76e2b23,-1.720685533114842,-0.2901883636202131,-1.430497169494629,9,7,sentence,LLM-LLM
conv_f1319a0af50d430182271474fd637f22,-1.6024523973464966,-0.3683851063251495,-1.234067291021347,6,4,sentence,LLM-LLM
conv_f2ddc5e921694149b31463498101fd61,-3.096144608656566,-0.6608449856440226,-2.4352996230125425,32,30,sentence,LLM-LLM
conv_fa25b39e0e4d408c9d4c4f4648a5b636,-4.2060916636671335,-1.1382985029901778,-3.067793160676956,30,28,sentence,LLM-LLM
conv_facbf30cfd734550a3be5964ab1ff135,-1.7434650659561155,-0.2878512938817342,-1.4556137720743816,11,9,sentence,LLM-LLM
conv_ff5282570c5a4bfda8b8840e73065641,-2.7988409907729537,-0.7100571901709946,-2.0887838006019592,29,27,sentence,LLM-LLM
conv_006cb479-ccd3-40d1-83fb-4b614573f636,-2.099675184204465,-0.444485448655628,-1.6551897355488367,23,21,sentence,H-LLM
conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968,-3.4039153393946195,-0.6030038877537376,-2.800911451640882,40,38,sentence,H-LLM
conv_07ec1a21-00a8-494b-9747-ef2f719abd5a,-3.502306403535785,-0.8158562544620398,-2.686450149073745,35,33,sentence,H-LLM
conv_11293fd2-d757-471f-8e2e-783542167a8e,-2.798080027103424,-0.5569000780582428,-2.241179949045182,22,20,sentence,H-LLM
conv_155f7493-3058-435d-a672-40e7e8ec213a,-4.049446799034296,-1.2369680487832355,-2.8124787502510604,45,43,sentence,H-LLM
conv_18ba473d-8913-4785-95cf-9a5400887bb9,-3.0416138538947473,-0.7325270175933838,-2.3090868363013635,28,26,sentence,H-LLM
conv_18be1999-da21-4ab6-8f9e-e52e6d9c8070,-2.1387331816885204,-0.6779878404405382,-1.4607453412479825,20,18,sentence,H-LLM
conv_193bbf9f-e759-475a-ae86-76613053567a,-3.6607700095457183,-0.7984433910425972,-2.862326618503122,36,34,sentence,H-LLM
conv_1a776856-1876-44eb-b0f6-31b31250ddca,-1.5853522777557374,-0.2844211101531982,-1.300931167602539,12,10,sentence,H-LLM
conv_1bb594f6-281e-43c0-aad7-d82e4a2ab88d,-3.047915380341666,-0.7055123022624424,-2.3424030780792235,37,35,sentence,H-LLM
conv_20c3db22-5b6d-42fa-bdee-f1e1a84fe6e8,-2.3560917841063604,-0.4463149640295241,-1.9097768200768368,20,18,sentence,H-LLM
conv_23ed55f8-cc91-439f-8c8e-e24f66457596,-3.639181671823774,-0.7685913188116891,-2.870590353012085,37,35,sentence,H-LLM
conv_29031421-8265-472f-b4ce-f147dd80edca,-3.8185784135546,-1.0418383393968855,-2.776740074157715,44,42,sentence,H-LLM
conv_2ce635fa-cb6c-424f-9565-859a944eed92,-2.521582464377085,-0.5052160322666168,-2.0163664321104684,26,24,sentence,H-LLM
conv_2f306db5-d066-4651-b17c-762d7f601570,-2.678046027819315,-0.7021517604589462,-1.9758942673603697,26,24,sentence,H-LLM
conv_328804bd-df9e-47da-ad43-e4da646b9ceb,-1.933016978777372,-0.4111892718535203,-1.5218277069238515,15,13,sentence,H-LLM
conv_33502e38-922d-4e7d-a252-ab236947c3d2,-2.437620644984038,-1.0326748205267864,-1.4049458244572517,25,23,sentence,H-LLM
conv_396737da-f9a2-4564-9edf-3712ef73724d,-2.950964852615639,-0.5882722934087118,-2.362692559206927,29,27,sentence,H-LLM
conv_3b65e0a1-1bf7-4f16-825f-63867d60f8d3,-2.411422691345215,-0.7374637413024903,-1.6739589500427243,27,25,sentence,H-LLM
conv_3c43f51a-ffcf-4161-8d6d-b76bf669acb6,-2.4315207472869327,-1.0962953226906913,-1.3352254245962416,30,28,sentence,H-LLM
conv_3c5b888e-d991-4bce-adad-5584923b75b5,-3.2357096780430186,-0.5679986802014437,-2.6677109978415747,35,33,sentence,H-LLM
conv_40197f84-33aa-433b-93b1-045691051ebc,-4.123798718819251,-0.922600168448228,-3.201198550371023,41,39,sentence,H-LLM
conv_41180468-5036-4f69-af66-b7465bcb7316,-2.818828370836046,-1.0589611530303955,-1.7598672178056505,20,18,sentence,H-LLM
conv_412eb7ca-cafa-4e38-8b2d-0a40272af090,-2.927849233150482,-0.9647336602211,-1.9631155729293823,22,20,sentence,H-LLM
conv_46b5cd4c-130a-4b4c-84e1-30f78572d0bb,-1.759388796488444,-0.435524559020996,-1.323864237467448,17,15,sentence,H-LLM
conv_47dd4912-f9ef-4d2c-a033-aeb851e8f164,-2.684523178685096,-0.3847724891478015,-2.2997506895372943,33,31,sentence,H-LLM
conv_47df141a-738b-422a-8ad6-f222255c695e,-2.4464681724022173,-0.5131020874812685,-1.9333660849209489,31,29,sentence,H-LLM
conv_491b62e9-789d-4b72-b887-557f2ccffc18,-2.2342423068152533,-0.8290399395757251,-1.4052023672395282,20,18,sentence,H-LLM
conv_49c214f3-8828-46e2-b76b-6c4f3ccaf016,-2.5382549037104067,-0.3615495121997336,-2.1767053915106733,25,23,sentence,H-LLM
conv_4aa46faf-273a-4707-be30-a0b216440d87,-2.4753297487894694,-0.4721157073974609,-2.0032140413920083,17,15,sentence,H-LLM
conv_4d1bd73a-bbc9-4e37-8ba0-3cdd7adbc66a,-3.523554687914641,-0.8716522869856461,-2.651902400928995,25,23,sentence,H-LLM
conv_58838068-7cd4-4f6c-b158-aabb542ab4b9,-3.6643798227967888,-0.8836833074175078,-2.780696515379281,31,29,sentence,H-LLM
conv_58c2f2e6-db2a-406d-9bc9-04aaf1b0c35a,-2.167370877767864,-0.419396394177487,-1.747974483590377,21,19,sentence,H-LLM
conv_5b956e03-a900-47aa-88a9-54cb6be40071,-2.4639628483698917,-0.7702715763678918,-1.693691272002,15,13,sentence,H-LLM
conv_5e234f25-eb78-4ec3-8113-c66645149ddc,-3.378836307770167,-0.887595784969819,-2.491240522800348,41,39,sentence,H-LLM
conv_5f17f002-84ad-4315-8c69-20ec83de1223,-1.6572226115635462,-0.6020445312772479,-1.0551780802862984,16,14,sentence,H-LLM
conv_61dd4f08-b460-4c98-8368-fb09762cbe5e,-2.7335389601556876,-0.6181875090850028,-2.1153514510706852,21,19,sentence,H-LLM
conv_62a271e6-a272-4e74-9d10-2dc0c15c530f,-2.633658070455898,-0.9962032789533788,-1.637454791502519,24,22,sentence,H-LLM
conv_634a773b-4e50-4e24-87f3-a5fbebcc6d74,-3.0516530293406863,-0.9837900960084164,-2.06786293333227,35,33,sentence,H-LLM
conv_6419c979-eb60-46a6-8770-2c3a25c7e2b3,-3.1958986377716063,-0.8841460514068603,-2.311752586364746,27,25,sentence,H-LLM
conv_68f643620b5081968ccd202f0b32a9250787a797b4322e0b,-3.0140186935663222,-0.6785742163658142,-2.3354444772005083,42,40,sentence,H-LLM
conv_68f73dbdcc8081958c0890edef7c670804df05d299f21c4d,-3.534089948001661,-0.9152578575569288,-2.618832090444732,59,57,sentence,H-LLM
conv_68f8cb66e7d0819089538cdf28e940fb0be0c7c5bc28f178,-3.1259032360145023,-0.5987808917249952,-2.527122344289507,30,28,sentence,H-LLM
conv_6910e16399d48194987708b3589ca9eb0edd24df36992831,-2.9973721833064637,-0.5882740801778333,-2.4090981031286307,31,29,sentence,H-LLM
conv_69120b0be9a881908567c1dfa912a6d90a309a13d5ea8eef,-2.8598940206898584,-0.781898084614012,-2.077995936075846,38,36,sentence,H-LLM
conv_691249fd97308197b06e97ca5d649f45080645ae33d1bf00,-2.870493471622467,-0.5630800213132586,-2.3074134503092085,30,28,sentence,H-LLM
conv_6912d3d2074c8197adc6c9e56408225c0a4f5cb536497774,-3.208039394131413,-0.7011857121079056,-2.506853682023507,29,27,sentence,H-LLM
conv_69160b265818819398e86c4bd8abc0080d0aba9e942fed0d,-2.770405346697027,-0.5630577098239552,-2.207347636873072,24,22,sentence,H-LLM
conv_6917421066d8819592863132f4a141a00078d2d8d630f704,-2.7654178830293508,-0.5053724096371577,-2.2600454733921933,28,26,sentence,H-LLM
conv_691b61ab394c819483ac4af28c7f29d00b3e16b70554a02a,-3.176172106354325,-0.5480393745281078,-2.628132731826217,29,27,sentence,H-LLM
conv_691b6cdacf7881969d8f99f8456a61890249fb5f6bbd90ca,-2.6207512244582176,-0.3890095390379429,-2.2317416854202747,34,32,sentence,H-LLM
conv_691b7e95a50c8195930023ad653f234c0f03c18c9e706226,-3.252176186016628,-0.3521872043609619,-2.8999889816556657,37,35,sentence,H-LLM
conv_691b8b725ae48193abaaaa9270b26d500f7b1fcbf105c42b,-3.7500868240992222,-0.92404719916257,-2.826039624936653,35,33,sentence,H-LLM
conv_691baa2b46788193b872ed7306db511f03e0f1b6d7bfd4c7,-2.740280270576477,-0.5984154224395752,-2.141864848136902,22,20,sentence,H-LLM
conv_691c84edfb24819590a3e29782cdd10d03ba8eb739f774a6,-2.497414850271665,-0.5704838450138385,-1.9269310052578263,28,26,sentence,H-LLM
conv_691dc7c061d8819797504b613ba6691208409e48769ea891,-2.9890639276215523,-0.6475163806568492,-2.341547546964703,35,33,sentence,H-LLM
conv_691dc83ec728819085d614247e77833604d03bd64a490dfd,-3.2237847162329634,-0.3836890199910039,-2.8400956962419595,25,23,sentence,H-LLM
conv_691e9e26b7688197a86e51a9d9a7dfe1052dd4511749a606,-2.7727019151051837,-0.6366220951080322,-2.1360798199971516,32,30,sentence,H-LLM
conv_691f065bc31481969cdbdc53f0ca1d3b03f44f568e358927,-3.0974732213550142,-0.7955429818895128,-2.3019302394655017,47,45,sentence,H-LLM
conv_691f06855a5c819598fe92033194bb530743467f5002fa62,-2.7606015375682285,-0.6483619425977979,-2.1122395949704305,30,28,sentence,H-LLM
conv_691f696d0b348190810494e2c5d82fee08324043d78ba0f7,-3.307277533315843,-0.6583171429172638,-2.648960390398579,33,31,sentence,H-LLM
conv_6981ccf5d5f4819394bcd7bad4d79b14001ace58e9b20b81,-3.4967882940846104,-0.5127309983776461,-2.984057295706964,33,31,sentence,H-LLM
conv_69a0753fc5d08196aa37099ec6c65b69083687b3e71b94b5,-2.7990838108640728,-0.5424490480711965,-2.2566347627928764,35,33,sentence,H-LLM
conv_69b581c4f16c81978ea543ce298c8c600546e04309837be3,-3.137992627280099,-0.5822771957942418,-2.5557154314858574,37,35,sentence,H-LLM
conv_6be7ed36-4c3e-4746-920a-dac8f9012262,-3.1135437617430815,-0.4448485954387768,-2.6686951663043046,39,37,sentence,H-LLM
conv_6c680e8e-2455-4bdf-b4cd-fe6c409f373a,-1.8818633508682252,-0.3516913414001464,-1.5301720094680786,27,25,sentence,H-LLM
conv_72037685-9437-4960-b9a0-5f77d2a71e41,-2.2228829720441032,-0.659943889169132,-1.5629390828749712,19,17,sentence,H-LLM
conv_73564d95-9f66-42db-a2c0-fed78090bac2,-1.769383393228054,-0.2844985648989677,-1.4848848283290863,18,16,sentence,H-LLM
conv_7511f98b-bb77-4bdc-926f-c26121dc147b,-2.9404573709734025,-0.7527971383064024,-2.187660232667,33,31,sentence,H-LLM
conv_7e08bac1-7465-447d-a732-40dad23fa383,-1.7517504294713335,-0.4430793523788452,-1.3086710770924883,8,6,sentence,H-LLM
conv_829c6d96-30f0-495e-9684-ca934b06e90a,-2.974306281270652,-1.0075857680419396,-1.9667205132287124,31,29,sentence,H-LLM
conv_82f7be76-f1f7-447b-b77d-2fa8134ebfed,-4.1283556931727645,-0.949219449146374,-3.1791362440263904,39,37,sentence,H-LLM
conv_837faa43-c6e5-4221-9368-e8076f56d5fb,-2.814878733261772,-0.4540347897488138,-2.360843943512958,25,23,sentence,H-LLM
conv_8ab6fccf-2cc1-40bb-8378-5b469fb220eb,-3.6403003513813017,-0.9011882762114208,-2.739112075169881,32,30,sentence,H-LLM
conv_8fd2ac26-a13c-4e85-b8ac-5f13e246b640,-2.74841040798596,-0.4437757815633501,-2.3046346264226094,30,28,sentence,H-LLM
conv_90178cb2-77d1-4123-9509-2ec42e4db932,-2.060010500252247,-0.4856767132878303,-1.5743337869644165,18,16,sentence,H-LLM
conv_90ea40da-2853-405a-9c2f-a22e77888401,-3.0208493742075833,-1.12168949842453,-1.8991598757830532,24,22,sentence,H-LLM
conv_9763bf93-b2b0-43b7-9ffa-761830f4d5a8,-2.687353491783142,-0.4641687549077548,-2.223184736875387,28,26,sentence,H-LLM
conv_9a9b4068-5437-4eac-9cbd-738309827685,-2.4196548108701355,-0.3026337800202546,-2.1170210308498807,29,27,sentence,H-LLM
conv_a0840d98-89b5-4206-b414-e9820d9a99b2,-3.6004157158044667,-0.4534756266153775,-3.1469400891890893,28,26,sentence,H-LLM
conv_a2292393-fd39-476f-975c-aaf411653197,-3.2725054383277894,-0.7328586578369141,-2.5396467804908753,32,30,sentence,H-LLM
conv_afc8092c-7335-40d1-a058-616cf97d80a2,-1.8488703648249307,-0.2805799086888631,-1.5682904561360678,17,15,sentence,H-LLM
conv_b0f0e7b9-40d0-4776-a1a7-828df5bdcf2a,-1.5752685410635812,-0.4996002401624407,-1.0756683009011403,9,7,sentence,H-LLM
conv_b1e0225e-fdb5-4142-8852-0785c0d30420,-2.813893430373248,-0.6830735206604004,-2.1308199097128475,19,17,sentence,H-LLM
conv_b306d0b7-35f0-495e-a3e0-5818c3ae060c,-2.547316301952709,-0.7808566852049394,-1.7664596167477695,24,22,sentence,H-LLM
conv_b6569263-0af4-4945-bd32-398a28cf7e69,-1.646713744510304,-0.5661792430010709,-1.080534501509233,13,11,sentence,H-LLM
conv_c2e0197b-bba1-43b9-978e-cc6e536892b3,-3.1310834757825163,-0.4404442259605894,-2.6906392498219267,49,47,sentence,H-LLM
conv_c576a2b8-4944-4966-b836-5a4fde76260f,-2.268952277990488,-0.1763685849996713,-2.0925836929908166,15,13,sentence,H-LLM
conv_c7f16c31-e264-4ad6-8a72-7c626fa0cac0,-3.614352470636368,-1.2603418469429015,-2.3540106236934664,22,20,sentence,H-LLM
conv_ccb90f8d-d4bb-406e-83e9-b91ac0615cac,-3.2070652660058467,-0.7867343839333982,-2.4203308820724487,51,49,sentence,H-LLM
conv_d87daedd-9490-4de9-8d2a-d33777567187,-3.6750368002133498,-1.032894431016384,-2.642142369196965,41,39,sentence,H-LLM
conv_da1c7ee9-2479-4f47-94bc-db9161a6e88c,-2.5258614818255105,-0.6612229843934377,-1.8646384974320729,26,24,sentence,H-LLM
conv_e335739c-0072-4945-8fe4-457a04c0997b,-2.12437641620636,-0.5797099024057388,-1.544666513800621,18,16,sentence,H-LLM
conv_e73d720a-ff86-4c9b-b988-d6cc879215d9,-4.318623233485866,-1.233899857546832,-3.084723375939034,39,37,sentence,H-LLM
conv_f5028a6e-05a3-4757-84d0-491a6f400c24,-2.608794532038949,-0.7131623246453025,-1.8956322073936465,24,22,sentence,H-LLM
conv_fe95c724-f91e-4a17-8400-9bfbdf9218ec,-2.391082062171056,-0.7828233287884638,-1.6082587333825915,28,26,sentence,H-LLM
188SQKM20FYzYRFIJ08U,-3.0124372105265773,-0.6814736987269202,-2.330963511799657,45,43,sentence,HH
1jhKtdiCFYhLl4Itr0tM,-3.801642579190871,-0.836872374310213,-2.9647702048806583,36,34,sentence,HH
599Km2RY5nTNKI7vG2Wb,-3.014110247294108,-0.4851970000144763,-2.5289132472796316,41,39,sentence,HH
6Jv806AoPWPYePMobUvx,-2.4245801678410284,-0.3966482833579735,-2.027931884483055,29,27,sentence,HH
7wPRj5Wbc26nlx60LUT5,-2.8929799795150757,-0.5392095060909495,-2.353770473424126,36,34,sentence,HH
9MYVXy4Nms9gfR1DI7NA,-3.0563446502936515,-0.6648699703969454,-2.391474679896706,40,38,sentence,HH
BocRhyGX0eWpgbUSkjWF,-2.5208024747910036,-0.3421214088316887,-2.178681065959315,33,31,sentence,HH
D8kJXS3suDI2tltssVgN,-3.0672922240363225,-0.712407128016154,-2.3548850960201686,47,45,sentence,HH
EVPkCWSrT9SwL38W9Zuk,-3.449583790983473,-1.1164671846798488,-2.3331166063036237,37,35,sentence,HH
FTAeksA8Y0QOBPW6kxWX,-3.459220297336578,-0.7017665052413941,-2.7574537920951845,52,50,sentence,HH
INnauEosv25woOCrBRDi,-3.19802600517869,-0.8498994819819927,-2.3481265231966972,34,32,sentence,HH
JFI8cNwhGfRT2Jd6JUd0,-3.055100056860182,-0.6775540113449097,-2.377546045515272,47,45,sentence,HH
JYZ6dAbVtTCZL8fZXM8s,-3.312126085871742,-0.742205282052358,-2.5699208038193837,44,42,sentence,HH
K6nustVFF5ei8GiBLmiZ,-2.4060467708678472,-0.5677985009692964,-1.838248269898551,44,42,sentence,HH
NSZE9lXnuxIl0ZT4gRoy,-2.4636431390588935,-0.6408141526308927,-1.8228289864280007,35,33,sentence,HH
OdyHy12i4PsBZkM4jjdC,-4.111515862601144,-1.2687443381264096,-2.8427715244747342,44,42,sentence,HH
P1SZ3AZnoi1oqt5EbYh5,-3.855544363458951,-0.6211141894261042,-3.234430174032847,50,48,sentence,HH
Pzb5I6nhg196AWLpukmz,-2.6205699358667647,-0.5963202516237894,-2.0242496842429754,44,42,sentence,HH
RGwAQvKrGEfTj8ym6lju,-2.817379611911196,-0.9400739669799804,-1.877305644931215,35,33,sentence,HH
Tf1TksJV6vLRqvWrSi52,-1.7673853919619609,-0.2824773220788865,-1.484908069883074,23,21,sentence,HH
ULRAMZF7ra0i53A9w3Gv,-3.58984883369938,-0.5494188108751851,-3.040430022824195,33,31,sentence,HH
