id,cond,n_annot,consistency,coherence,originality,surprisingness,enjoyment,quality,coherence_comp,creativity_comp,attract_comp,overall,llm,n_words,n_sentences,mean_word_length,mean_sentence_length,ttr,hapax_ratio,comma_density,flesch_approx,adjacent_sentence_similarity,semantic_distinctiveness,topic_novelty,topic_transience,topic_resonance,topic_entropy,word_novelty,word_transience,word_resonance,s_novelty,s_transience,s_resonance
118,H-LLM,2,4.5,5.0,3.5,4.5,3.0,4.0,4.75,4.0,3.5,4.083333333333333,1,507.0,13.0,4.333333333333333,39.0,0.4635108481262327,0.33530571992110453,80.86785009861933,47.94230769230769,0.16126733031292836,0.6037273810059107,5.364371769550938,5.2114386760633495,0.15581896972071163,1.6557722476014831,4.491104790963359,4.536258632863976,-0.015129720971089777,-2.13727611653945,-1.0639704395742977,-1.0546586960554123
124,H-LLM,2,1.0,2.5,5.0,1.5,1.0,1.5,1.75,3.25,1.25,2.0833333333333335,1,497.0,26.0,4.410462776659959,19.115384615384617,0.4708249496981891,0.3420523138832998,44.265593561368206,65.38419246246714,0.1081910757453497,0.7011210128183069,4.9800757915192015,5.067203408041088,-0.16545092701189548,1.6456040516027914,4.893446177409441,4.80001562427642,0.05645918275273687,-2.355317143832936,-1.3569890891804415,-0.7793560326099396
130,HH,2,3.0,2.5,4.5,1.5,5.0,1.5,2.75,3.0,3.25,3.0,0,446.0,29.0,4.2040358744394615,15.379310344827585,0.4641255605381166,0.3071748878923767,49.327354260089685,75.70616591928254,0.09119454411170665,0.6893262725902544,4.390256705020528,4.5224748257251886,-0.07345255194476069,1.994184620390433,4.874856063781654,4.885581503258155,-0.010088265773374008,-2.0843085447947183,-1.1569454669952393,-0.8957741430827549
132,HH,2,3.5,3.5,1.5,3.5,2.0,3.5,3.5,2.5,2.75,2.9166666666666665,0,518.0,29.0,4.123552123552123,17.862068965517242,0.4671814671814672,0.33783783783783783,79.15057915057915,74.05403474903477,0.08251235174803122,0.5924747318152703,5.241389772986547,5.0879810268855294,0.23098676969250279,1.703190226091896,4.6020466100480535,4.532883155923725,0.09968161245554859,-2.014793952306112,-1.1879587570826213,-0.8136223484488094
138,HH,2,4.0,4.5,4.0,4.5,4.5,4.5,4.25,4.25,4.5,4.333333333333333,0,566.0,51.0,4.240282685512367,11.098039215686274,0.42579505300353354,0.2773851590106007,56.53710247349823,84.2153665211668,0.05864989307429582,0.5663360547671572,3.7680114417868533,3.7795497340793243,-0.024945794791130498,2.3354261343516454,4.686811375231439,4.636040640482139,0.05813502893537176,-2.1823452711105347,-1.0595829248428346,-1.0311647716321444
139,HH,2,4.0,4.0,5.0,2.0,4.5,3.5,4.0,3.5,4.0,3.8333333333333335,0,478.0,33.0,4.196652719665272,14.484848484848484,0.4811715481171548,0.3577405857740586,39.7489539748954,79.21488715607966,0.09900810113407059,0.601594346955081,4.604706590732148,4.697659847919912,-0.14034200347470122,1.8647559333255743,4.573509570501167,4.584177809500343,-0.04770486506413425,-2.1389308720827103,-1.1555570662021637,-1.0014116764068604
141,HH,2,2.5,3.0,3.0,3.5,2.5,4.0,2.75,3.25,3.25,3.0833333333333335,0,587.0,39.0,4.190800681431005,15.051282051282051,0.41396933560477,0.2776831345826235,57.921635434412266,79.28639846241211,0.08037242954424648,0.5924747318152703,4.5337950549569115,4.627051221468299,-0.14156871758796075,2.0126283209840503,4.558324129947076,4.521215756146207,0.04219998123635143,-2.2089036822319033,-0.9907733559608459,-1.2283179634495784
142,HH,2,4.0,5.0,4.0,5.0,4.5,5.0,4.5,4.5,4.75,4.583333333333333,0,576.0,44.0,3.984375,13.090909090909092,0.4739583333333333,0.3159722222222222,46.875,83.24460227272729,0.07938840768818865,0.6709281690302606,4.265971200428364,4.325109121243598,-0.07288487270140256,2.140800602995071,5.010457074151116,4.9258802977859855,0.06276949133200597,-1.5748549461364747,-1.0675707578659057,-0.4672325535824424
143,HH,2,3.5,4.5,4.0,3.5,4.0,4.5,4.0,3.75,4.25,4.0,0,545.0,35.0,4.097247706422018,15.571428571428571,0.43302752293577984,0.28073394495412846,82.56880733944955,80.1962385321101,0.08956762311429867,0.6349829846309559,3.865280256142012,4.009052800503118,-0.1628806625103627,2.159547231271322,4.740115860992013,4.648004901736188,0.08449652890517124,-1.804342545961079,-1.0034254852094149,-0.728613018989563
145,HH,2,3.5,3.5,4.0,2.0,2.5,1.5,3.5,3.0,2.0,2.8333333333333335,0,451.0,49.0,4.319290465631929,9.204081632653061,0.5055432372505543,0.35698447893569846,37.6940133037694,78.00239151092813,0.05863752405811238,0.6496703834913756,3.65638115727318,3.6192183790964423,0.03184362468585744,2.2246395623148882,4.833787053009899,4.789935938786618,0.04706888311012114,-1.9753150780995687,-1.140411901473999,-0.8265504496438163
