story_id,cond,n_sentences,n_words,n_annotators,overall_coherence,overall_creativity,overall_likeability,eps_story,rr_RR,rr_DET,rr_L,rr_L_MAX,rr_DIV,rr_ENTR,rr_RATIO,rr_LAM,rr_TT,rr_V_MAX,eps_RR,eps_DET,eps_L,eps_L_MAX,eps_DIV,eps_ENTR,eps_RATIO,eps_LAM,eps_TT,eps_V_MAX,path_length,mean_step,sd_step,max_step,net_displacement,straightness,radius_gyration,centroid_norm,msd_alpha,msd_alpha_r2,circularity,first_last_cos,mean_pairwise_sim,sd_pairwise_sim,decay_lambda,decay_A,decay_C,decay_exp_r2,decay_half_life,decay_fit_at_bound,decay_beta,decay_pow_r2,decay_lin_slope,decay_lin_r2,decay_half_distance,sim_lag1,sim_maxlag,decay_max_lag,decay_n_lags,conversation_id,mean_coherence_element_consistency,mean_coherence_logical_progression,mean_creativity_originality,mean_creativity_surprisingness,mean_likeability_enjoyability,mean_likeability_quality,mean_lead_time,ann1_annotator,ann1_coherence_element_consistency,ann1_coherence_logical_progression,ann1_creativity_originality,ann1_creativity_surprisingness,ann1_likeability_enjoyability,ann1_likeability_quality,ann1_lead_time,ann1_comments,ann2_annotator,ann2_coherence_element_consistency,ann2_coherence_logical_progression,ann2_creativity_originality,ann2_creativity_surprisingness,ann2_likeability_enjoyability,ann2_likeability_quality,ann2_lead_time,ann2_comments,full_author_1,full_author_2,timestamp,interaction_count,starter,starter_side,starter_type,author_1_type,author_2_type,model_id,turn,full_author_1_dot,full_author_2_dot,model_author_1,model_author_2,model_starter,model_responder,pair_id,dyad_id,is_self_pair,n_turns
conv_41180468-5036-4f69-af66-b7465bcb7316,H-LLM,19,413,2,3.25,4.25,3.5,0.20257063210010529,0.05263157894736842,0.0,,1.0,1.0,,0.0,0.1111111111111111,2.0,2.0,0.13450292397660818,0.2608695652173913,2.0,2.0,0.5,0.0,1.9395085066162572,0.5652173913043478,2.6,5.0,14.913857708835797,0.8285476504908776,0.1296465107343493,1.052726521237759,0.7118254034566012,0.047729126652112035,0.5862678392521642,0.8101173137047132,0.03158040330452636,0.4285912225426839,0.8882249434624466,0.7466523216321537,0.6371950555963126,0.09537544549312567,0.3829278453800137,0.03816056997219313,0.6224758768818754,0.4317897281869566,1.8101247765674318,0.0,0.018347510582300122,0.42107137322688004,-0.0027891163037707984,0.35518395262094526,3.417216190809423,0.6488173123863008,0.6353968322277069,9.0,9.0,conv_41180468-5036-4f69-af66-b7465bcb7316,3.0,3.5,4.5,4.0,3.5,3.5,191.05,1.0,3.0,3.0,5.0,4.0,5.0,3.0,182.656,h-a,2.0,3.0,4.0,4.0,4.0,2.0,4.0,199.443,"human-ai, I think ",,,,,,,,,,,,,,,,,,,,,
conv_412eb7ca-cafa-4e38-8b2d-0a40272af090,H-LLM,22,411,2,4.75,4.25,4.25,0.27485039830207825,0.05194805194805195,0.0,,1.0,1.0,,0.0,0.2916666666666667,2.3333333333333335,3.0,0.025974025974025976,0.0,,1.0,1.0,,0.0,0.0,,1.0,18.09393216228007,0.8616158172514319,0.06985228583873479,0.9937829978055611,0.8932133023557431,0.04936535045808344,0.6190464226161768,0.7853544203818136,0.03793491562179941,0.5859965312864304,0.8391215723645292,0.6010850746639429,0.5985330749641765,0.07071379727882757,0.792257799937481,0.09209964032517287,0.5860237793810777,0.7646339273981637,0.8749010493991264,0.0,0.024930446558058896,0.572358982353291,-0.002529690096917811,0.32424977395842436,2.4723329070900832,0.6264856173878625,0.5999099666422064,11.0,11.0,conv_412eb7ca-cafa-4e38-8b2d-0a40272af090,4.5,5.0,3.5,5.0,3.5,5.0,258.053,2.0,5.0,5.0,4.0,5.0,3.0,5.0,132.491,human-ai,1.0,4.0,5.0,3.0,5.0,4.0,5.0,383.616,"H-AI, I think the setting is from a human, but things like the specificity of mentioning ""greasepaint and sawdust"", or the unknowable quality of ""silk scarves that shimmered with impossible colors"" and ""catching light in ways that defied physics—sometimes swirling sometimes glistening with more than twenty colours at once"", and a character named ""Elena"" all screams AI to me. also they spell ""colour"" inconsistently",,,,,,,,,,,,,,,,,,,,,
conv_423a3b9f2e0640e789caf6a9f5e374b9,LLM-LLM,38,573,0,,,,0.294793963432312,0.051209103840682786,0.1111111111111111,2.0,2.0,0.5,0.0,2.169753086419753,0.16666666666666666,2.0,2.0,0.021337126600284494,0.0,,1.0,1.0,,0.0,0.0,,1.0,32.92840918997721,0.8899570051345191,0.09304353844136946,1.0394598312410974,1.0803856538065824,0.03281013812642463,0.659238991994184,0.7519335111028627,0.05429104483097783,0.7064257871619319,0.8171090525498894,0.4163833851042632,0.5536581790379406,0.08550208834561679,0.0022844061778761913,1.5916485273804173,-0.9955617212148805,0.759818316055757,303.425541076221,0.0,0.04198406315457752,0.6797568300153205,-0.0035557762565618595,0.7601730683713721,4.897812623896546,0.5997768455260509,0.5278527438640594,19.0,19.0,conv_423a3b9f2e0640e789caf6a9f5e374b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv_462717bcc40d4415847da0610f472914,LLM-LLM,29,551,0,,,,0.23379099369049072,0.05172413793103448,0.0,,1.0,1.0,,0.0,0.19047619047619047,2.0,2.0,0.09113300492610837,0.16216216216216217,2.0,2.0,0.5,0.0,1.779401022644266,0.3108108108108108,2.3,4.0,22.92443076593705,0.8187296702120375,0.09515711864896106,1.0166909073032222,0.6838019790890616,0.02982852599791089,0.588879556137058,0.8082208362133548,0.04200130061577223,0.7105230164064618,0.9008580393096322,0.7662074290179424,0.6408359210919864,0.08252479633792556,0.14907631551407266,0.04976132037881526,0.6187170519412161,0.7054275880726513,4.649613039936669,0.0,0.023393489404404055,0.6954408925959098,-0.002715341231367345,0.6693990348657644,3.7900907927523457,0.6604751742311886,0.6130888640880585,14.0,14.0,conv_462717bcc40d4415847da0610f472914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv_46b5cd4c-130a-4b4c-84e1-30f78572d0bb,H-LLM,17,456,2,4.0,3.75,3.25,0.27668359875679016,0.051470588235294115,0.0,,1.0,1.0,,0.0,0.14285714285714285,2.0,2.0,0.014705882352941176,0.0,,1.0,1.0,,0.0,0.5,2.0,2.0,13.592556711942937,0.8495347944964335,0.08949295169640031,0.970477718839043,0.9550254694555282,0.07026091482968812,0.6078776527439954,0.7940307319803575,0.04332286100297146,0.6348204895168638,0.7735748139265891,0.5439632157012118,0.6073901068200084,0.0694068119933039,0.0810329060186083,0.08302116129575506,0.5539437762964583,0.6139676723347447,8.553897603040076,0.0,0.027079162607107292,0.6211042410977212,-0.004728090047570241,0.6122575057853794,2.4950326016543354,0.6353910714387894,0.595264712969462,8.0,8.0,conv_46b5cd4c-130a-4b4c-84e1-30f78572d0bb,4.0,4.0,3.0,4.5,2.5,4.0,368.973,1.0,3.0,3.0,3.0,4.0,1.0,3.0,441.023,"ai-ai? There's no obvious markers, like an overuse of m-dashes, but the plot itself is so vague and disjointed that it makes me think an AI wrote it.",2.0,5.0,5.0,3.0,5.0,4.0,5.0,296.922,"human-human, I think",,,,,,,,,,,,,,,,,,,,,
conv_47dd4912-f9ef-4d2c-a033-aeb851e8f164,H-LLM,33,666,1,5.0,4.0,5.0,0.2143552303314209,0.05113636363636364,0.07407407407407407,2.0,2.0,0.5,0.0,1.4485596707818928,0.14814814814814814,2.0,2.0,0.10227272727272728,0.14814814814814814,2.0,2.0,0.5,0.0,1.4485596707818928,0.3333333333333333,2.1176470588235294,3.0,25.876538558150365,0.8086418299421989,0.09167680184955959,1.0547019982468269,0.9516899013830135,0.03677809917444536,0.5824245241401057,0.8128848171705252,0.026580518971039097,0.29174408781348116,0.8728250535157112,0.5471432658799528,0.6501811397346583,0.07769880632924708,0.05138750758908393,0.046030836122668714,0.625392764423735,0.3155880657121535,13.488632025173139,0.0,0.013917618136621084,0.29822385441974664,-0.0015549704079479711,0.31251375242298274,5.961744104298783,0.6689781825989485,0.6451186537742615,16.0,16.0,conv_47dd4912-f9ef-4d2c-a033-aeb851e8f164,5.0,5.0,3.0,5.0,5.0,5.0,475.594,2.0,5.0,5.0,3.0,5.0,5.0,5.0,475.594,human-ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv_47df141a-738b-422a-8ad6-f222255c695e,H-LLM,31,525,2,3.75,3.75,3.75,0.28062593936920166,0.05161290322580645,0.08333333333333333,2.0,2.0,0.5,0.0,1.6145833333333333,0.125,2.0,2.0,0.025806451612903226,0.16666666666666666,2.0,2.0,0.5,0.0,6.458333333333333,0.0,,1.0,26.553564435202702,0.8851188145067568,0.07523819051460476,1.0142734541652496,0.9461075629736613,0.035630152979363616,0.6343543600651096,0.773042432878931,0.015531300584698078,0.16207616747327291,0.8725843508915807,0.5524403266543343,0.5841810880809701,0.08182223728791291,0.644319959679774,0.04421260466170494,0.5838337295434954,0.26564126611402794,1.0757810155445726,0.0,0.010791448025684776,0.1544294212238988,-0.0006404849245458229,0.05218766969521149,3.9917065504615525,0.6055463433265686,0.5902255736291409,15.0,15.0,conv_47df141a-738b-422a-8ad6-f222255c695e,4.5,3.0,4.5,3.0,4.5,3.0,168.677,1.0,4.0,3.0,4.0,3.0,4.0,2.0,142.608,h-h,2.0,5.0,3.0,5.0,3.0,5.0,4.0,194.746,"Human-human, I think",,,,,,,,,,,,,,,,,,,,,
conv_491b62e9-789d-4b72-b887-557f2ccffc18,H-LLM,19,500,2,4.25,4.5,3.5,0.2310502529144287,0.05263157894736842,0.0,,1.0,1.0,,0.0,0.1111111111111111,2.0,2.0,0.09941520467836257,0.11764705882352941,2.0,2.0,0.5,0.0,1.1833910034602078,0.29411764705882354,2.0,2.0,14.469760166125662,0.803875564784759,0.08806101044141183,0.9579587429881266,0.7537186815402903,0.05208923111972364,0.5654635534758496,0.824773304584453,0.0179659082241298,0.09574424388508018,0.8269810399588406,0.7159541475361411,0.6624872206944471,0.06635704659215752,0.0014554665349082337,1.6840393974799925,-0.9999999997165254,0.24064109044062842,476.2371129361953,1.0,0.00903635950069645,0.10356126297617585,-0.00244141218735233,0.2414428915778326,6.592160625628305,0.6732301314671835,0.6626800060272217,9.0,9.0,conv_491b62e9-789d-4b72-b887-557f2ccffc18,3.5,5.0,4.0,5.0,3.5,3.5,209.065,1.0,3.0,5.0,3.0,5.0,4.0,3.0,175.394,h-h,2.0,4.0,5.0,5.0,5.0,3.0,4.0,242.735,"human-human, I would think",,,,,,,,,,,,,,,,,,,,,
conv_49c214f3-8828-46e2-b76b-6c4f3ccaf016,H-LLM,25,504,2,5.0,3.25,3.75,0.2794341444969177,0.05,0.13333333333333333,2.0,2.0,0.5,0.0,2.6666666666666665,0.23333333333333334,2.3333333333333335,3.0,0.03666666666666667,0.18181818181818182,2.0,2.0,0.5,0.0,4.958677685950414,0.18181818181818182,2.0,2.0,19.900845494200084,0.8292018955916701,0.10251040722627139,1.084422313789903,0.8335673244219595,0.04188602562965955,0.6181730062224495,0.7860421090538908,0.07582446342006255,0.8870458098144035,0.8595563205565278,0.6525828072467836,0.6019397869706153,0.07963847194490802,0.09226764833939861,0.11836255726246676,0.5332667073368109,0.892279303547586,7.512353387508728,0.0,0.048582883913223164,0.8750925711489972,-0.006182844083971584,0.8764766584015952,4.9275875423566955,0.6511768649021784,0.5703357045467083,12.0,12.0,conv_49c214f3-8828-46e2-b76b-6c4f3ccaf016,5.0,5.0,1.5,5.0,3.0,4.5,249.464,1.0,5.0,5.0,2.0,5.0,3.0,4.0,160.1,h-a,2.0,5.0,5.0,1.0,5.0,3.0,5.0,338.829,human-ai,,,,,,,,,,,,,,,,,,,,,
conv_4a6a4f5ea2f54cbeb47af1cc5ce458ac,LLM-LLM,32,581,0,,,,0.2514909505844116,0.05040322580645161,0.16,2.0,2.0,0.5,0.0,3.1744000000000003,0.28,2.0,2.0,0.046370967741935484,0.17391304347826086,2.0,2.0,0.5,0.0,3.7504725897920603,0.21739130434782608,2.0,2.0,26.764749393612618,0.8633790126971812,0.10963715052837876,1.0194980065181931,0.750960457554999,0.028057817635842124,0.6197139106815939,0.7848278236196323,0.03579784102109922,0.6037057116174431,0.9185004070555762,0.7180291910686769,0.6035661496702702,0.08086195361050859,0.1733450332057156,0.047633402580633456,0.58846808070144,0.6415354439894055,3.9986561353468915,0.0,0.023114787062749206,0.5943479280679236,-0.002212996124333198,0.5409364544115753,6.715332472556659,0.6214721395123389,0.5951627641916275,16.0,16.0,conv_4a6a4f5ea2f54cbeb47af1cc5ce458ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv_4aa46faf-273a-4707-be30-a0b216440d87,H-LLM,17,428,2,4.25,2.75,3.25,0.23980212211608887,0.051470588235294115,0.2857142857142857,2.0,2.0,0.5,0.0,5.551020408163265,0.2857142857142857,2.0,2.0,0.08823529411764706,0.16666666666666666,2.0,2.0,0.5,0.0,1.8888888888888886,0.4166666666666667,2.0,2.0,13.212532581938852,0.8257832863711783,0.12043284970639509,1.0602933750101042,0.8985483966902053,0.06800727953689172,0.5863100094936026,0.8100867918675152,-0.002600695977064756,0.002165917834740183,0.7987006827317357,0.5963054439541526,0.6347555890679359,0.08320926799010023,5.11651348864905,1.9999739751670844,0.6400556365277699,0.09166485071017882,0.1354725599957251,0.0,-0.0013432083423090201,0.0018348200037336948,0.0010130128804652391,0.03087275999938288,1.531687091609744,0.6522422339767218,0.6595034864213731,8.0,8.0,conv_4aa46faf-273a-4707-be30-a0b216440d87,4.0,4.5,2.0,3.5,2.5,4.0,429.719,1.0,4.0,5.0,3.0,4.0,2.0,4.0,194.715,h-ai,2.0,4.0,4.0,1.0,3.0,3.0,4.0,664.723,human-ai,,,,,,,,,,,,,,,,,,,,,
