story_id,lag,mean_sim,n_pairs
EVPkCWSrT9SwL38W9Zuk,4,0.5975432693958282,28
EVPkCWSrT9SwL38W9Zuk,5,0.5787521037790511,27
EVPkCWSrT9SwL38W9Zuk,6,0.5664406246863879,26
EVPkCWSrT9SwL38W9Zuk,7,0.5671511447429657,25
EVPkCWSrT9SwL38W9Zuk,8,0.5807964205741882,24
EVPkCWSrT9SwL38W9Zuk,9,0.5882861070010973,23
EVPkCWSrT9SwL38W9Zuk,10,0.5582457929849625,22
EVPkCWSrT9SwL38W9Zuk,11,0.5642364167031788,21
EVPkCWSrT9SwL38W9Zuk,12,0.5477691650390625,20
EVPkCWSrT9SwL38W9Zuk,13,0.578334347197884,19
EVPkCWSrT9SwL38W9Zuk,14,0.577497531970342,18
EVPkCWSrT9SwL38W9Zuk,15,0.5535667293211993,17
EVPkCWSrT9SwL38W9Zuk,16,0.5598608627915382,16
FTAeksA8Y0QOBPW6kxWX,1,0.611841841340065,50
FTAeksA8Y0QOBPW6kxWX,2,0.5697686161313739,49
FTAeksA8Y0QOBPW6kxWX,3,0.5911643908669552,48
FTAeksA8Y0QOBPW6kxWX,4,0.5778258595060795,47
FTAeksA8Y0QOBPW6kxWX,5,0.566132216349892,46
FTAeksA8Y0QOBPW6kxWX,6,0.5547124180528853,45
FTAeksA8Y0QOBPW6kxWX,7,0.5736458213491873,44
FTAeksA8Y0QOBPW6kxWX,8,0.5620443557584008,43
FTAeksA8Y0QOBPW6kxWX,9,0.542486459726379,42
FTAeksA8Y0QOBPW6kxWX,10,0.5437899384556747,41
FTAeksA8Y0QOBPW6kxWX,11,0.5422889463603496,40
FTAeksA8Y0QOBPW6kxWX,12,0.5416956207691095,39
FTAeksA8Y0QOBPW6kxWX,13,0.5356168245014391,38
FTAeksA8Y0QOBPW6kxWX,14,0.5200779107776848,37
FTAeksA8Y0QOBPW6kxWX,15,0.5580769926309586,36
FTAeksA8Y0QOBPW6kxWX,16,0.5457246882574899,35
FTAeksA8Y0QOBPW6kxWX,17,0.531855079181054,34
FTAeksA8Y0QOBPW6kxWX,18,0.5445019241535303,33
FTAeksA8Y0QOBPW6kxWX,19,0.5481034871190786,32
FTAeksA8Y0QOBPW6kxWX,20,0.5324777355117183,31
FTAeksA8Y0QOBPW6kxWX,21,0.5387065509955088,30
FTAeksA8Y0QOBPW6kxWX,22,0.5322331745049049,29
FTAeksA8Y0QOBPW6kxWX,23,0.5374092246804919,28
FTAeksA8Y0QOBPW6kxWX,24,0.5379896870365849,27
FTAeksA8Y0QOBPW6kxWX,25,0.5315609322144434,26
INnauEosv25woOCrBRDi,1,0.6364964264811892,33
INnauEosv25woOCrBRDi,2,0.6050548944622278,32
INnauEosv25woOCrBRDi,3,0.6127043462568714,31
INnauEosv25woOCrBRDi,4,0.6024744480848312,30
INnauEosv25woOCrBRDi,5,0.6033315422206089,29
INnauEosv25woOCrBRDi,6,0.6179779022932053,28
INnauEosv25woOCrBRDi,7,0.6036969048005564,27
INnauEosv25woOCrBRDi,8,0.5852079678040284,26
INnauEosv25woOCrBRDi,9,0.5899136161804199,25
INnauEosv25woOCrBRDi,10,0.587605440368255,24
INnauEosv25woOCrBRDi,11,0.5777442286843839,23
INnauEosv25woOCrBRDi,12,0.5777180763808164,22
INnauEosv25woOCrBRDi,13,0.5776285458178747,21
INnauEosv25woOCrBRDi,14,0.5917010173201561,20
INnauEosv25woOCrBRDi,15,0.5672606559176194,19
INnauEosv25woOCrBRDi,16,0.6022733185026381,18
INnauEosv25woOCrBRDi,17,0.5858446307042066,17
JFI8cNwhGfRT2Jd6JUd0,1,0.6302476584911346,45
JFI8cNwhGfRT2Jd6JUd0,2,0.6195580580017783,44
JFI8cNwhGfRT2Jd6JUd0,3,0.6076905935309654,43
JFI8cNwhGfRT2Jd6JUd0,4,0.6077308356761932,42
JFI8cNwhGfRT2Jd6JUd0,5,0.5856679372671174,41
JFI8cNwhGfRT2Jd6JUd0,6,0.5733866922557354,40
JFI8cNwhGfRT2Jd6JUd0,7,0.5832629211438007,39
JFI8cNwhGfRT2Jd6JUd0,8,0.5813563834679755,38
JFI8cNwhGfRT2Jd6JUd0,9,0.5812111714401761,37
JFI8cNwhGfRT2Jd6JUd0,10,0.5927522381146749,36
JFI8cNwhGfRT2Jd6JUd0,11,0.5850223958492279,35
JFI8cNwhGfRT2Jd6JUd0,12,0.5850868724724826,34
JFI8cNwhGfRT2Jd6JUd0,13,0.5943520123308356,33
JFI8cNwhGfRT2Jd6JUd0,14,0.5872207954525948,32
JFI8cNwhGfRT2Jd6JUd0,15,0.5974604141327643,31
JFI8cNwhGfRT2Jd6JUd0,16,0.5969782600800196,30
JFI8cNwhGfRT2Jd6JUd0,17,0.5955679786616358,29
JFI8cNwhGfRT2Jd6JUd0,18,0.585218220949173,28
JFI8cNwhGfRT2Jd6JUd0,19,0.5896234611670176,27
JFI8cNwhGfRT2Jd6JUd0,20,0.6059010877059057,26
JFI8cNwhGfRT2Jd6JUd0,21,0.5976282215118408,25
JFI8cNwhGfRT2Jd6JUd0,22,0.5827061745027701,24
JFI8cNwhGfRT2Jd6JUd0,23,0.5754934186520784,23
JYZ6dAbVtTCZL8fZXM8s,1,0.6098987545285907,42
JYZ6dAbVtTCZL8fZXM8s,2,0.6096360276385051,41
JYZ6dAbVtTCZL8fZXM8s,3,0.6046577222645283,40
JYZ6dAbVtTCZL8fZXM8s,4,0.5968183638193668,39
JYZ6dAbVtTCZL8fZXM8s,5,0.5931133196542138,38
JYZ6dAbVtTCZL8fZXM8s,6,0.587430901624061,37
JYZ6dAbVtTCZL8fZXM8s,7,0.5895066145393584,36
JYZ6dAbVtTCZL8fZXM8s,8,0.592399582692555,35
JYZ6dAbVtTCZL8fZXM8s,9,0.5899493063197416,34
JYZ6dAbVtTCZL8fZXM8s,10,0.5899566330692985,33
JYZ6dAbVtTCZL8fZXM8s,11,0.5894320048391819,32
JYZ6dAbVtTCZL8fZXM8s,12,0.6143718227263419,31
JYZ6dAbVtTCZL8fZXM8s,13,0.5804666419823964,30
JYZ6dAbVtTCZL8fZXM8s,14,0.5937198246347493,29
JYZ6dAbVtTCZL8fZXM8s,15,0.5703222847410611,28
JYZ6dAbVtTCZL8fZXM8s,16,0.5768741203678979,27
JYZ6dAbVtTCZL8fZXM8s,17,0.5640829664010268,26
JYZ6dAbVtTCZL8fZXM8s,18,0.5729353845119476,25
JYZ6dAbVtTCZL8fZXM8s,19,0.5671102640529474,24
JYZ6dAbVtTCZL8fZXM8s,20,0.5781677844731704,23
JYZ6dAbVtTCZL8fZXM8s,21,0.5859860452738676,22
K6nustVFF5ei8GiBLmiZ,1,0.6418828230078627,41
K6nustVFF5ei8GiBLmiZ,2,0.6030606925487518,40
K6nustVFF5ei8GiBLmiZ,3,0.5878379367865049,39
K6nustVFF5ei8GiBLmiZ,4,0.5898156126863078,38
K6nustVFF5ei8GiBLmiZ,5,0.5800104487586666,37
K6nustVFF5ei8GiBLmiZ,6,0.5798861682415009,36
K6nustVFF5ei8GiBLmiZ,7,0.5872792371681759,35
K6nustVFF5ei8GiBLmiZ,8,0.5722650657681858,34
K6nustVFF5ei8GiBLmiZ,9,0.5811375587275533,33
