story_id,conversation_id,cond,n_annotators,mean_coherence_element_consistency,mean_coherence_logical_progression,mean_creativity_originality,mean_creativity_surprisingness,mean_likeability_enjoyability,mean_likeability_quality,mean_lead_time,overall_coherence,overall_creativity,overall_likeability,ann1_annotator,ann1_coherence_element_consistency,ann1_coherence_logical_progression,ann1_creativity_originality,ann1_creativity_surprisingness,ann1_likeability_enjoyability,ann1_likeability_quality,ann1_lead_time,ann1_comments,ann2_annotator,ann2_coherence_element_consistency,ann2_coherence_logical_progression,ann2_creativity_originality,ann2_creativity_surprisingness,ann2_likeability_enjoyability,ann2_likeability_quality,ann2_lead_time,ann2_comments,n_sentences,n_words
conv_0388f204ccd644f39221d0d8afff6d09,conv_0388f204ccd644f39221d0d8afff6d09,LLM-LLM,2,5.0,5.0,2.0,5.0,4.0,4.5,164.167,5.0,3.5,4.25,1.0,5.0,5.0,3.0,5.0,4.0,5.0,182.272,H-AI,2.0,5.0,5.0,1.0,5.0,4.0,4.0,146.063,ai-ai,23,518
conv_052cfef2e39e4d5e8ec74772babb6fb8,conv_052cfef2e39e4d5e8ec74772babb6fb8,LLM-LLM,2,5.0,5.0,1.5,4.0,1.0,4.0,255.889,5.0,2.75,2.5,2.0,5.0,5.0,1.0,5.0,1.0,5.0,166.743,"classic AI-AI, beautiful but boring",1.0,5.0,5.0,2.0,3.0,1.0,3.0,345.035,"AI-AI, its way too consistent in both tone and story, like there's no friction between the two writers. It's also using a lot of words to say very little.",5,608
conv_07895a6494a74fd3bbbf1c629d890e9d,conv_07895a6494a74fd3bbbf1c629d890e9d,LLM-LLM,2,5.0,4.0,2.5,5.0,2.0,4.0,121.455,4.5,3.75,3.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,74.581,ai-ai,2.0,5.0,3.0,1.0,5.0,1.0,3.0,168.329,AI-AI,24,552
conv_07ec1a21-00a8-494b-9747-ef2f719abd5a,conv_07ec1a21-00a8-494b-9747-ef2f719abd5a,H-LLM,2,4.5,4.5,2.5,4.5,3.0,3.5,265.139,4.5,3.5,3.25,2.0,5.0,5.0,1.0,5.0,4.0,4.0,325.922,humam-ai,1.0,4.0,4.0,4.0,4.0,2.0,3.0,204.357,"H-A. The start is AI for sure, but there's a lot of punctuation errors that make me think a human wrote part of it.",33,437
conv_11293fd2-d757-471f-8e2e-783542167a8e,conv_11293fd2-d757-471f-8e2e-783542167a8e,H-LLM,2,4.0,4.5,4.0,4.0,3.5,3.5,205.002,4.25,4.0,3.5,2.0,4.0,4.0,3.0,3.0,3.0,3.0,135.741,human-ai,1.0,4.0,5.0,5.0,5.0,4.0,4.0,274.264,"H-H, although there are some mystical elements that AI would otherwise love adding in, like the watch with gemstones that measures time in a ""unique"" way. I wish I got to know why the creature travelled by hot air ballon, what a cliffhanger.",21,485
conv_1135e4a162c64105aaf2934e6fecd74b,conv_1135e4a162c64105aaf2934e6fecd74b,LLM-LLM,2,5.0,5.0,5.0,5.0,5.0,5.0,281.558,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,159.55,human-ai,1.0,5.0,5.0,5.0,5.0,5.0,5.0,403.567,"H-AI? It's very creative, which makes me think a human set the scene, but also very cooperative, there's no big inconsistencies. It could be AI-AI too though, AIs love adding ""timeless"" elements, but I haven't seen the clock setting before.",26,502
conv_11c2622ee391485c9913d2f1479b665b,conv_11c2622ee391485c9913d2f1479b665b,LLM-LLM,2,4.0,4.5,2.5,4.0,4.5,4.0,680.628,4.25,3.25,4.25,2.0,3.0,4.0,4.0,4.0,4.0,4.0,207.467,"hand in paw? human-ai, I think",1.0,5.0,5.0,1.0,4.0,5.0,4.0,1153.788,"Maybe human-AI? I thought it could be two humans until i got to the ""tapestry"" part and the ""hand in paw"". owls don't have hands!!",40,542
conv_13f71095fd0a4a1d8a69de1414e8a7b7,conv_13f71095fd0a4a1d8a69de1414e8a7b7,LLM-LLM,2,5.0,5.0,2.0,5.0,4.5,5.0,157.796,5.0,3.5,4.75,1.0,5.0,5.0,3.0,5.0,5.0,5.0,62.944,h-ai,2.0,5.0,5.0,1.0,5.0,4.0,5.0,252.648,I think it is Human-AI,31,530
conv_145de5a68d014da88f143860a2aed6fd,conv_145de5a68d014da88f143860a2aed6fd,LLM-LLM,2,4.5,4.5,2.5,2.5,3.0,3.5,135.547,4.5,2.5,3.25,1.0,5.0,5.0,4.0,3.0,3.0,4.0,71.72,H-AI,2.0,4.0,4.0,1.0,2.0,3.0,3.0,199.374,ai-ai,24,521
conv_1547fb2c3c8a489186d0682465ab3451,conv_1547fb2c3c8a489186d0682465ab3451,LLM-LLM,2,5.0,4.5,1.5,4.5,2.0,5.0,418.072,4.75,3.0,3.5,1.0,5.0,4.0,2.0,4.0,1.0,5.0,186.654,ai-ai,2.0,5.0,5.0,1.0,5.0,3.0,5.0,649.491,I think this human-AI,9,596
