id,ep_s0,ep_s_final,ep_total_drop,ep_n_body_sentences,ep_mean_delta,ep_var_delta,ep_max_delta,ep_max_delta_pos,ep_frac_negative_drops,ep_slope_norm,ep_linearity_r2,ep_auc,ep_mean_delta_tail,ep_mean_delta_rest,ep_tail_share,ep_tail_ratio,ep_n_sentences_total,ep_n_target_sentences,cond
conv_a731e4cc684f448587f5085e647f5953,5.1022491455078125,2.1911604404449463,2.911088705062866,27.0,0.10781810018751356,0.08110720632156905,1.071458101272583,1.0,0.4444444444444444,1.1523139817374097,0.7457736342693749,0.5081479084537318,0.21427526473999023,0.08362329006195068,0.36803286750989417,2.5623873992669814,29.0,2.0,LLM-LLM
conv_ad879cff91254437a5153d2400ed3f5d,3.2097761631011963,1.3839507102966309,1.8258254528045654,26.0,0.07022405587709867,0.041878722821900416,0.8163433074951172,1.0,0.46153846153846156,1.0930821471744117,0.7027306501529422,0.39233398484339355,0.19090538024902343,0.04149040721711658,0.5227919787068982,4.601193216784499,28.0,2.0,LLM-LLM
conv_adc796acd32f4433993539115159236a,6.235013484954834,2.473888635635376,3.761124849319458,27.0,0.1393009203451651,0.2023892740094293,1.355428695678711,0.037037037037037035,0.4074074074074074,1.0092994498682548,0.39223263440547473,0.6550335224336752,0.1429976463317871,0.13846075534820557,0.1900995740112978,1.0327666202034795,29.0,2.0,LLM-LLM
conv_baa66c4dc3ff4e6f8b91aa3bf55cbea2,2.757204532623291,1.2244091033935547,1.5327954292297363,27.0,0.05677020108258283,0.019904264164118744,0.6920981407165527,0.037037037037037035,0.3333333333333333,0.7831760310864716,0.7170186296310552,0.5847303400840415,0.06716330051422119,0.054408133029937744,0.21908762002236737,1.2344349415052525,29.0,2.0,LLM-LLM
conv_bd42668068fc4f41a9b41e52a30aa976,4.938179016113281,2.4636504650115967,2.4745285511016846,26.0,0.09517417504237248,0.07578942806795783,0.6688237190246582,0.038461538461538464,0.46153846153846156,1.8471928617689346,0.8017202862638961,0.6170515899360408,0.12876253128051757,0.08717694736662365,0.2601758852675012,1.4770250068404582,28.0,2.0,LLM-LLM
conv_bd574adf4c144554bf5dde1263f1bb0d,3.425243616104126,1.280951976776123,2.144291639328003,32.0,0.06700911372900009,0.026526008747709218,0.5135337114334106,0.9375,0.34375,1.657774707089421,0.8074233416220744,0.4091822229892311,0.11116745074590047,0.05681872826356154,0.31106062824758046,1.9565283163367342,34.0,2.0,LLM-LLM
conv_bfba8b3e334542f08bee905a2934a25e,6.421924591064453,2.6388309001922607,3.7830936908721924,27.0,0.14011458114341455,0.14456923065391047,1.145592212677002,0.037037037037037035,0.37037037037037035,2.2450507171861425,0.6724527583450679,0.3230740688572431,0.37593655586242675,0.08651867779818448,0.49686392484738406,4.345149110338293,29.0,2.0,LLM-LLM
conv_bfdccaa2af5e42afa662d355a9f25723,,,,,,,,,,,,,,,,,4.0,2.0,LLM-LLM
conv_c4baf00847bb42a8ab80a1cb377e91b2,4.536491870880127,3.029066801071167,1.50742506980896,24.0,0.06280937790870667,0.018105045672810682,0.3927173614501953,0.041666666666666664,0.375,0.7418158348746925,0.7272174994327547,0.589096189583851,0.06529502868652344,0.06215525928296541,0.21657802432196,1.0505149433817667,26.0,2.0,LLM-LLM
conv_c5addb32570d400db0feca8365ceaa9a,5.1189703941345215,2.6252613067626953,2.493709087371826,20.0,0.12468545436859131,0.08616104703674579,1.1235389709472656,0.95,0.4,1.359848818384615,0.5247014261024358,0.3040535934559755,0.3940545320510864,0.05734318494796753,0.6320777897415275,6.871863368047074,22.0,2.0,LLM-LLM
conv_c7841512d38b483c928344d48d5caa78,,,,,,,,,,,,,,,,,5.0,2.0,LLM-LLM
conv_c844530b86a74806aff04a1d35ed710d,3.3660528659820557,0.772357165813446,2.5936957001686096,29.0,0.08943778276443481,0.06758637393939428,0.9757306575775146,0.034482758620689655,0.3448275862068966,1.3441625816481444,0.8712530374279244,0.5793560160462078,0.10834494233131409,0.08450548026872717,0.2506345111902006,1.2821055153674945,31.0,2.0,LLM-LLM
conv_c9917f1e13cb425b8d6617310f2e909f,3.2718687057495117,1.2822314500808716,1.9896372556686401,27.0,0.07369026872846815,0.05581456173337741,0.9076571464538574,0.037037037037037035,0.3333333333333333,1.0098592278721568,0.8106169764296031,0.6189913896893712,0.06195168495178223,0.07635812867771495,0.15568587885876378,0.811330581623627,29.0,2.0,LLM-LLM
conv_ca1d11bdb5804bf5b68a18283defc1fe,5.6435465812683105,2.526050329208374,3.1174962520599365,30.0,0.10391654173533121,0.07825577162069781,0.8750238418579102,0.13333333333333333,0.43333333333333335,1.8219075213550067,0.837516735103769,0.5559635485914729,0.20430533091227213,0.07881934444109599,0.3932104119335009,2.5920709232104246,32.0,2.0,LLM-LLM
conv_d09d179bdcf2422c934df6fd0fc84a1d,,,,,,,,,,,,,,,,,4.0,2.0,LLM-LLM
conv_d1c22bb3a30c49288b4bb253d68f713c,5.233086109161377,2.816882371902466,2.416203737258911,28.0,0.08629299061638969,0.03882652964338506,0.8170738220214844,0.03571428571428571,0.32142857142857145,1.6503227369081928,0.8719666545460277,0.5861438572267168,0.06158908208211263,0.09303042021664706,0.15294012122996642,0.6620316444737692,30.0,2.0,LLM-LLM
conv_d6905a1ca5714753a29b07b1344d1eb0,4.805816173553467,2.75984525680542,2.045970916748047,32.0,0.06393659114837646,0.055092960644643085,0.907583475112915,0.90625,0.375,0.92485510638732,0.5281281901917687,0.4078215231236681,0.1356653372446696,0.04738380358769344,0.39785121909836874,2.863116233241873,34.0,2.0,LLM-LLM
conv_dc08ca44d82747d0bbf35d05a5cb1d68,4.537135601043701,1.8923747539520264,2.644760847091675,32.0,0.08264877647161484,0.05672799718761595,0.595170259475708,0.03125,0.375,1.7135781528663074,0.8322705290850169,0.39848003483028965,0.20348437627156576,0.05476363805624155,0.4616320069060197,3.715684046823002,34.0,2.0,LLM-LLM
conv_de8aad34908944eea2d9c5f8be5201dd,4.58279275894165,1.6682190895080566,2.9145736694335938,32.0,0.0910804271697998,0.12000725657019373,0.9440524578094482,1.0,0.5,1.0539048745834931,0.4021997673313933,0.35270854774034477,0.2972119251887004,0.043511619934668906,0.6118464493912606,6.830633417807775,34.0,2.0,LLM-LLM
